codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
924,CHOMBA DE ALGODON MANGA CORTA TALLE L,UN,TALLER,TAL,ROPA,ROP
925,CHOMBA DE ALGODON MANGA CORTA TALLE XL,UN,TALLER,TAL,ROPA,ROP
926,CHOMBA DE ALGODON MANGA CORTA TALLE XXL,UN,TALLER,TAL,ROPA,ROP
927,CHOMBA DE ALGODON MANGA CORTA TALLE XXXL,UN,TALLER,TAL,ROPA,ROP
928,TOBERA MIG CONICA 36,UN,TALLER,TAL,OXICORTE,OXI
929,TORCHA MIG - 25 (CABLE 4 MTS LARGO),UN,TALLER,TAL,OXICORTE,OXI
930,TORCHA MIG - 25 (CABLE 5 MTS LARGO),UN,TALLER,TAL,OXICORTE,OXI
931,TORCHA MIG - 36 (CABLE 4 MTS LARGO),UN,TALLER,TAL,OXICORTE,OXI
932,VALVULA REGULADORA ANTIRRETORNO ACETILENO/GAS P/MANGUERA,UN,TALLER,TAL,VALVULAS,VAL
933,DIFUSOR MIG PORTA PUNTA DE CONTACTO MB 25,UN,TALLER,TAL,SOLDADURA,SOL
934,MANGUERA DUPLA DUNLOP,UN,TALLER,TAL,MANGUERAS,MAN
935,MANGUERA PLASTIRRABIT,UN,TALLER,TAL,MANGUERAS,MAN
936,MANOTAS TD TIPO HUTCH 75 (CENTRALES DERECHA),UN,TALLER,TAL,REPUESTOS,RPU
940,G1 CHAPA PLEGADA DE 1/4. MEDIDAS INTERIORES 150MM X 55MM X 65 X3000 DE LARGO,MT,TALLER,TAL,HIERROS,HIE
980,GUANTES VAQUETA TALLE 9,UN,TALLER,TAL,EPP,EPP
981,GUANTES VAQUETA TALLE 10,UN,TALLER,TAL,EPP,EPP
982,JUEGO DE LONA PARA BATEA 305 ESPECIAL,UN,TALLER,TAL,LONAS,LON
983,LONA PARA DIMATRA COLA CORTA,UN,TALLER,TAL,LONAS,LON
984,HH-CENT-CARBON MOTOR,UN,TALLER,TAL,REPUESTOS,RPU
986,"TUERCAS RUEDA M22x1,5mm GRADO 10.9",UN,TALLER,TAL,BULONERIA,BUL
990,"ESTRUCTURAL 60 X 30 X 1,2 MM",MT,TALLER,TAL,HIERROS,HIE
991,"ESTRUCTURAL DE 40X20 X 2,5 MM",MT,TALLER,TAL,HIERROS,HIE
992,"ESTRUCTURAL 30 X 30 X 2,5 MM",MT,TALLER,TAL,HIERROS,HIE
