codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
2077,RASPADOR 2375,UN,TALLER,TAL,REPUESTOS,RPU
2078,CODO MF VIR 9/16 X MF VIR 9/16 AG 22204,UN,TALLER,TAL,CONEXIONES,CON
2079,CUERPO DE ROSCA HEMB. PCH 1/2A 10254,UN,TALLER,TAL,FERRETERIA,FER
2080,BUJE RED CONICO 3/4 A 1/2 A 611-08,UN,TALLER,TAL,RODAMIENTOS,ROD
2081,TAPON DE 1/4 NPT,UN,TALLER,TAL,CONEXIONES,CON
2082,ADAPTADOR M/F 3/4 A 3/4 NPT,UN,TALLER,TAL,CONEXIONES,CON
2083,ADAPTADOR M/F 3/8 A 3/8 NPT,UN,TALLER,TAL,CONEXIONES,CON
2084,ADAPTADOR 7/8 UNF C/ORI A 3/8 TUBO,UN,TALLER,TAL,CONEXIONES,CON
2085,codo de 90 1/4 NPT A 1/2 TUBO,UN,TALLER,TAL,HIDRAULICA,HID
2086,BOMBA HIDRAULICA,UN,TALLER,TAL,HIDRAULICA,HID
2087,JUEGO DE ESPARRAGOS VAL 6 CUERPOS,UN,TALLER,TAL,EPP,EPP
2088,VALVULA DE TRES CUERPOS,UN,TALLER,TAL,VALVULAS,VAL
2089,VALVULA DE 4 CUERPOS (DOBLE EFECTO) C/ACCIONAMIENTO 1050 (VENTURI),UN,TALLER,TAL,VALVULAS,VAL
2090,"VALVULA DE 5 CUERPOS (1ER CPO DE IZQ A DER SIMPLE, 4TO REST. DOBLE EFECTO) C/ACCIONAMIENTO 1050 (VENTURI)",UN,TALLER,TAL,ELECTROVALVULAS,EVA
2091,VALVULA DE 2 CUERPOS,UN,TALLER,TAL,VALVULAS,VAL
2092,CUERPO DE VALVULA,UN,TALLER,TAL,VALVULAS,VAL
2093,MANG C/TER H/G 1/2 TUBO A M/F (1/2 TUBO X 65 CM),UN,TALLER,TAL,MANGUERAS,MAN
2094,MANGUERA HIDR DE 3/8 X 0.70 CM-MF DE 3/8 NPT -TG 3/8 JIC,UN,TALLER,TAL,MANGUERAS,MAN
2095,MANG H/G 3/8 TUBO A 1/4 NPT (M/F X 70 CM),UN,TALLER,TAL,MANGUERAS,MAN
2096,ADAPTADOR 7/8 UNF ORING - 1/2 JIC,UN,TALLER,TAL,CONEXIONES,CON
2097,MANG H/G 3/8 JIC A 3/8 NPT (M/F X 75 CM),UN,TALLER,TAL,MANGUERAS,MAN
2098,MANGUERA CON HEMBRA GIRATORIA 1/2 TUBO A 1/2 M/F X 900MM,UN,TALLER,TAL,MANGUERAS,MAN
2099,CILINDRO 73X500 DOBLE EFECTO,UN,TALLER,TAL,CILINDROS,CIL
2100,CILINDRO 1735 BANDERA B2 NUEVA,UN,TALLER,TAL,LONAS,LON
2100,CILINDRO 73X825 DOBLE EFECTO,UN,TALLER,TAL,CILINDROS,CIL
2101,"CILINDRO 50,8 X 700 VAST31,75",UN,TALLER,TAL,CILINDROS,CIL
2102,CILINDRO BUZO DE 1200 MM,UN,TALLER,TAL,CILINDROS,CIL
2103,CILINDRO TELESCOPICO DE 2 TRAMOS,UN,TALLER,TAL,CILINDROS,CIL
2104,CILINDRO DOBLE EFECTO 1300MM,UN,TALLER,TAL,CILINDROS,CIL
2105,CAMISA 80 X 695 MM,UN,TALLER,TAL,ROPA,ROP
2106,"0.050.030.600 CN 10 DIAM. 63, CARRERA 600",UN,TALLER,TAL,FERRETERIA,FER
2107,"0.050.030.610 CN 10 DIAM.63, CARRERA 610",UN,TALLER,TAL,FERRETERIA,FER
2108,0.250.000.122 MIC//VAL 5/2 CH-1 PAL BIESTABLE 10/2006,UN,TALLER,TAL,FERRETERIA,FER
2109,UNION TUBO DE 1/2,UN,TALLER,TAL,HIDRAULICA,HID
2110,TAPA ROSCA DE PISTON,UN,TALLER,TAL,CILINDROS,CIL
2111,TEE TUBO DE 1/4,UN,TALLER,TAL,CONEXIONES,CON
2112,TEE TUBO RECTO CENTRO NPT 1/2,UN,TALLER,TAL,CONEXIONES,CON
2113,CODO DE 1/2 GALVANIZADO,UN,TALLER,TAL,CONEXIONES,CON
2114,CODO DE 3/4 GALVANIZADO,UN,TALLER,TAL,CONEXIONES,CON
2115,CUPLA DE 1/2,UN,TALLER,TAL,CONEXIONES,CON
2116,CUPLA DE 3/4 GALVANIZADA,UN,TALLER,TAL,CONEXIONES,CON
2117,VASTAGO DE 40MM X 1400MM LARG,UN,TALLER,TAL,FERRETERIA,FER
2118,"VASTAGO DE 0,38 X 970 MM",UN,TALLER,TAL,FERRETERIA,FER
2119,TUERCA Y VIROLA 1 1/16,UN,TALLER,TAL,BULONERIA,BUL
2120,JUEGO DE REP CIL DIMATRA 90760004540,UN,TALLER,TAL,HERRAMIENTAS,HER
2121,JUEGO REP CIL DIMATRA 90760006320,UN,TALLER,TAL,FERRETERIA,FER
2122,CILINDRO DOBLE EFECTO LARGO TUBO 1600MM DIAMETRO 90MM DIAMETRO DE VASTAGO 62.8MM,UN,TALLER,TAL,CILINDROS,CIL
2123,CODO 90 H/F M/F 3/4 NPT,UN,TALLER,TAL,CONEXIONES,CON
2124,ADAPTADOR 3/8 PASO GAS CON SALIDA 1/2 CON TUERCA Y VIROLA,UN,TALLER,TAL,BULONERIA,BUL
2125,Juego de reparacion 9076793800,UN,TALLER,TAL,HERRAMIENTAS,HER
2126,Juego de reparacion 90897904600,UN,TALLER,TAL,HERRAMIENTAS,HER
2127,JUEGO DE REPARACION 90630003827,UN,TALLER,TAL,HERRAMIENTAS,HER
2128,JUEGO DE REPARACION 911010006700,UN,TALLER,TAL,HERRAMIENTAS,HER
2129,12.531 TUBO POLIU DIAM EXT 10MM 11/2006,UN,TALLER,TAL,HIERROS,HIE
2130,Codo de 5/8 Tubo - Tubo.,UN,TALLER,TAL,CONEXIONES,CON
2131,0.030.000.005 MICRO//MONTAGE TRAS. MACHO 12/2004,UN,TALLER,TAL,CORTE Y ABRASIVOS,CYA
2132,MANG CORRUGADA,MT,TALLER,TAL,MANGUERAS,MAN
2133,VIROLA 5/8 TUBO,UN,TALLER,TAL,HIDRAULICA,HID
2134,Tee de 3/8 Hembra,UN,TALLER,TAL,CONEXIONES,CON
2135,Adaptadores 1/4 con salida 8mm rapido,UN,TALLER,TAL,CONEXIONES,CON
2136,SILENCIADOR CON REGULADOR,UN,TALLER,TAL,FERRETERIA,FER
2137,codo 1/4 a 1/4 macho/hembra,UN,TALLER,TAL,CONEXIONES,CON
2138,codo 3/8 NPT a 10mm c/virola incorporada,UN,TALLER,TAL,CONEXIONES,CON
2139,conector recto de 1/4 NPT a 10mm c/virola incorporada,UN,TALLER,TAL,CONEXIONES,CON
2140,Buje de 3/8 a 1/4,UN,TALLER,TAL,RODAMIENTOS,ROD
2141,Manguera Hidraulica de 3/8 R2 de 2000mm de largo. Tuerca giratoria de 1/2 Tb.,UN,TALLER,TAL,HIDRAULICA,HID
2142,CODOS HIDRAUL.DE 1/2 RECT,UN,TALLER,TAL,CONEXIONES,CON
2143,UNION CAÑO DE 1/2´´ TUBO-TUBO,UN,TALLER,TAL,CONEXIONES,CON
2144,UNION 5/8´´ TUBO - 5/8´´ TUBO,UN,TALLER,TAL,HIDRAULICA,HID
2145,ADAPTADOR 1/2 NPT - 5/8 TB,UN,TALLER,TAL,CONEXIONES,CON
2146,CODO 90º 1/2 TB - 1/2 TB,UN,TALLER,TAL,HIDRAULICA,HID
2147,ADAPTADOR 1/2 TUBO x 7/8 UNF,UN,TALLER,TAL,HIDRAULICA,HID
2147,ADAPTADOR 7/8 UNF C/ORING A 1/2 TUBO,UN,TALLER,TAL,CONEXIONES,CON
2148,ADAPTADORES 1/2 RECTO,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
2149,TUERCA 5/8 TUBO,UN,TALLER,TAL,HIDRAULICA,HID
2150,"MOTOR ELECTRICO 1,5 HP",UN,TALLER,TAL,REPUESTOS,RPU
2151,MANGUERA C/MACHO FIJO DE 1/2 X 2MTS,UN,TALLER,TAL,MANGUERAS,MAN
2152,"ADAP.LARGO 4"" 3/8 X 3/8 NPT",UN,TALLER,TAL,FERRETERIA,FER
2153,MOTOR ELECTRICO REPARADO,UN,TALLER,TAL,REPUESTOS,RPU
2154,TIRANTES PARA VALVULAS DE 2 CUERPOS 90352186,UN,TALLER,TAL,VALVULAS,VAL
2155,ADAPT.HIDR.5/8 REC.CONICO,UN,TALLER,TAL,FERRETERIA,FER
2156,TEE DE 1/2 TUBO-1/2 TUBO-TUERCA GIRATORIA TUBO DE 1/2,UN,TALLER,TAL,CONEXIONES,CON
2157,VALVULA DE 6 CUERPOS,UN,TALLER,TAL,VALVULAS,VAL
2158,TEE HIDRAULICA 1/2 RECTA,UN,TALLER,TAL,CONEXIONES,CON
2159,TEE HIDRAULIC.5/8 RECTA,UN,TALLER,TAL,CONEXIONES,CON
2160,ACOPLE RAPIDO 1/2 NPT MACHO,UN,TALLER,TAL,HIDRAULICA,HID
2161,ACOPLE RAPIDO 1/2 NPT HEMBRA,UN,TALLER,TAL,HIDRAULICA,HID
2162,CODO DE 90 X 3/8 TUBO A 3/8 NPT,UN,TALLER,TAL,CONEXIONES,CON
2163,ADAPTADOR DE 1/2 MACHO A 3/8,UN,TALLER,TAL,CONEXIONES,CON
2164,CODO 3/8 MACHO A 3/8 HEMBRA,UN,TALLER,TAL,CONEXIONES,CON
2165,CODO 1/4 MACHO A 1/4 HEMBRA,UN,TALLER,TAL,CONEXIONES,CON
2166,ADAPTADOR DE 12 A 8 MM,UN,TALLER,TAL,CONEXIONES,CON
2167,paquete de valvula de 1 cuerpo doble efecto,UN,TALLER,TAL,VALVULAS,VAL
2168,manguera hidr. de 1/2 x 0.80 cm tuerca giratoria de 1/2 tb macho fijo de 1/2 tb.,UN,TALLER,TAL,MANGUERAS,MAN
2169,CAÑO HIDRAULICO DE 3/4,MT,TALLER,TAL,HIDRAULICA,HID
2170,TERMINAL RECUPERABLE HEMBRA GIRATORIA JIC 1/2,UN,TALLER,TAL,ELECTRICIDAD,ELE
2171,BUJE REDUCTOR 7/8 UNF CON ORING A 3/8 NPT,UN,TALLER,TAL,RODAMIENTOS,ROD
2172,FILTRO CON REGULADOR PARA PISONES MICRO,UN,TALLER,TAL,FILTROS,FIL
2173,ADAPTADOR RECTO 1/4 NPT A 3/8 CON VIROLA INCORPORADA,UN,TALLER,TAL,CONEXIONES,CON
2174,ADAPTADOR RECTO 1/4 NPT A 10MM VIROLA INCORPORADA,UN,TALLER,TAL,CONEXIONES,CON
2175,"Cilindros doble efecto, diametro exterior 60 mm.",UN,TALLER,TAL,CILINDROS,CIL
2175,"Cilindros doble efecto, diametro exterior 60 mm. Ojo de culata gira a 90º",UN,TALLER,TAL,CILINDROS,CIL
2176,"Cilindros doble efecto, diametro exterior 73 mm.",UN,TALLER,TAL,CILINDROS,CIL
2177,CILINDRO BUZO INVERTIDO DE 955MM CERRADO,UN,TALLER,TAL,CILINDROS,CIL
2178,JGO.CODOS Y MANGUITOS,UN,TALLER,TAL,FERRETERIA,FER
2179,CILINDROS DOBLE ACCION DE PISO DIMATRA,UN,TALLER,TAL,CILINDROS,CIL
2180,MANGUERA CON HEMBRA GIRATORIA 1/2 TUBO X 900MM,UN,TALLER,TAL,MANGUERAS,MAN
2181,CILINDRO BUZO NORMAL PARA ROLDANA DE 76.3MM DIAMETRO DE CAMISA Y VASTAGO DE 38MM DE DIAMETRO,UN,TALLER,TAL,CILINDROS,CIL
2182,ADAPTADOR 1/2 NPT - TUERCA GIRATORIA DE 1/2 JIC,UN,TALLER,TAL,HIDRAULICA,HID
2183,TOMA DE FUERZA,UN,TALLER,TAL,ELECTRICIDAD,ELE
2184,TOMA DE FUERZA SCANIA,UN,TALLER,TAL,ELECTRICIDAD,ELE
2185,MANGUERA HIDR 3/8 R2 DE 3 MTS.-TEE DE 1/2 TUBO- MF DE 1/2 NPT.,UN,TALLER,TAL,MANGUERAS,MAN
2186,TEE DE 10 MM TUBO,UN,TALLER,TAL,CONEXIONES,CON
2187,ADAPTADOR 1/2 NPT - TG DE 1/2 JIC,UN,TALLER,TAL,CONEXIONES,CON
2188,TEE DE 1/2 TUBO - TG DE 1/2 TUBO (CENTRAL) - 1/2 TUBO,UN,TALLER,TAL,CONEXIONES,CON
2189,MANGUERA HIDR DE 1/2 - TG 1/2 TUBO - MACHO TUBO DE 1/2 DE 800MM,UN,TALLER,TAL,MANGUERAS,MAN
2190,INS7702 TUB ESP. ¼ ROSC. ¼ 2.5M,UN,TALLER,TAL,FERRETERIA,FER
2191,COLOCACION DE TOMA DE FUERZA,UN,TALLER,TAL,ELECTRICIDAD,ELE
2192,PISTON DIMATRA TECHO LAD IZQ CAMISA 1680MM DIAM 900MM VASTAGO 63.36MM CARRERA 3150MM,UN,TALLER,TAL,CILINDROS,CIL
2193,PISTON DE CILINDRO SEGUN MUESTRA,UN,TALLER,TAL,CILINDROS,CIL
2194,MANGUERA PARA DIRECCION HIDRAULICA DE TELA Y GOMA,MT,TALLER,TAL,MANGUERAS,MAN
2195,CODO DE 3/8 NPT A 3/8 JIC,UN,TALLER,TAL,CONEXIONES,CON
2196,TUERCA GUIA DE PISTON,UN,TALLER,TAL,GUIAS RAMPAS Y PECHO,GRP
2197,KIT TAPA GUIA COMPLETA 90760006320,UN,TALLER,TAL,GUIAS RAMPAS Y PECHO,GRP
2198,RASPADOR 2000,UN,TALLER,TAL,REPUESTOS,RPU
2199,KIT COMPLETO DE TOMA DE FUERZA (SIN TANQUE Y SIN TOMA),UN,TALLER,TAL,ELECTRICIDAD,ELE
2200,COMANDO DE 7 CUERPOS (EX 2108 EN AS400),UN,TALLER,TAL,HIDRAULICA,HID
2201,RASPADOR 1375,UN,TALLER,TAL,REPUESTOS,RPU
2202,RASPADOR 1625,UN,TALLER,TAL,REPUESTOS,RPU
2203,UNION DE 3/8 MF TB X 16 X 1.5 MF TB DE 10 MM,UN,TALLER,TAL,CONEXIONES,CON
2204,VIROLAS HIDRAULICAS 1/2,UN,TALLER,TAL,HIDRAULICA,HID
2205,VIROLAS DE 3/8,UN,TALLER,TAL,CONEXIONES,CON
2206,Codos 7/8 oring por ½ tubo,UN,TALLER,TAL,CONEXIONES,CON
2207,TEE 5/8 RECTO 1/2 CONICO,UN,TALLER,TAL,CONEXIONES,CON
2208,MANG DE 3/8 X 700 MM HG 16 X 1.5 TB X 3/8 MF NPT,UN,TALLER,TAL,MANGUERAS,MAN
2209,CODO DE 1/2 HEMBRA - HEMBRA,UN,TALLER,TAL,CONEXIONES,CON
2210,ADAPTADOR 3/4 NPT A 1/2 JIC,UN,TALLER,TAL,CONEXIONES,CON
2211,KIT DE REPERACION (ORING) BOMBA HIDRAULICA 32 LTS.,UN,TALLER,TAL,BULONERIA,BUL
2212,TUERCA DE 1/2 HIDRAULICA,UN,TALLER,TAL,HIDRAULICA,HID
2213,PASA CHAPA,UN,TALLER,TAL,HIERROS,HIE
2214,PASO CHAPA 3/8 X 3/8 HEMBRA,UN,TALLER,TAL,HIERROS,HIE
2215,PASO CHAPA 1/4 X 1/4 HEMBRA,UN,TALLER,TAL,HIERROS,HIE
2216,MANGUERA HIDR.3/8 R2 C/TUERCA GIRATORIA TUBO 800MM LARGO,UN,TALLER,TAL,HIDRAULICA,HID
2216,Mangueras Hidráulicas: 3/8 R2 800mm de largo. macho macho. ½ tubo,UN,TALLER,TAL,MANGUERAS,MAN
2217,CODO DE 1/2 NPT MACHO AMBOS EXTREMOS,UN,TALLER,TAL,CONEXIONES,CON
2217,MANGUERA HIDR.3/8 R2 80CM TUBO DE 1/2 MACHO A MACHO DE 1/2 NPT,UN,TALLER,TAL,MANGUERAS,MAN
2218,RASPADOR 2250,UN,TALLER,TAL,REPUESTOS,RPU
2219,MANGUERA 3/4 R2 C/TER.3/4 TUBO A 1/2 NPT X 3 MTS,UN,TALLER,TAL,MANGUERAS,MAN
2220,JGO. REPARACION CINDROS CHICOS BRASIL,UN,TALLER,TAL,REPUESTOS,RPU
2221,POLIPAC 187 1125 312 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2222,POLIPAC 187 1875 375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2223,POLIPAC 187 2250 375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2224,POLIPAC 187 1250 312 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2225,POLIPAC 250 3500 250,UN,TALLER,TAL,RODAMIENTOS,ROD
2226,POLIPAC 250 3500 375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2227,POLIPAC 187 2500 375,UN,TALLER,TAL,RODAMIENTOS,ROD
2228,TAPA DE VALVULA DE DESCARGA,UN,TALLER,TAL,VALVULAS,VAL
2229,TAPA DE VALVULA DE PRESION,UN,TALLER,TAL,VALVULAS,VAL
2230,ACCIONAMIENTO 1050,UN,TALLER,TAL,FERRETERIA,FER
2231,BARRA CROMADA DE 35 MM DIAMETRO X 6 MTS LARGO,MT,TALLER,TAL,HIERROS,HIE
2232,"PISTON 2"" X 550 MM RECORRIDO DOBLE EFECTO",UN,TALLER,TAL,CILINDROS,CIL
2233,CILINDRO DE 4 TRAMOS,UN,TALLER,TAL,VALVULAS,VAL
2234,MANGUERA HIDRAULICA R2 1/2 NPT. TG. 1/2 TUBO DE 1500 MM,UN,TALLER,TAL,MANGUERAS,MAN
2235,RASPADOR 1500,UN,TALLER,TAL,REPUESTOS,RPU
2236,WIPER R 1125,UN,TALLER,TAL,FERRETERIA,FER
2237,POLIPAC 55X65X952,UN,TALLER,TAL,RODAMIENTOS,ROD
2238,POLIPAC 80X90X10,UN,TALLER,TAL,RODAMIENTOS,ROD
2239,O RINGS METRICO 80 X 3,UN,TALLER,TAL,FERRETERIA,FER
2240,TE DE 5/8 CON X 1/2 REC X 1/2 REC,UN,TALLER,TAL,FERRETERIA,FER
2241,"CILINDRO HIDRAULICO 2"" X 1500 X 31.75MM C/OJOS",UN,TALLER,TAL,CILINDROS,CIL
2242,"CILINDRO HIDRAULICO 2"" X 500 X 31.75 MM C/OJOS",UN,TALLER,TAL,CILINDROS,CIL
2243,TERMINAL RECUPERABLE MACHO TUBO 1/2,UN,TALLER,TAL,HIERROS,HIE
2244,CILINDRO HIDRAULICO DOBLE EFECTO DIAM. INT.111 MM RECORRIDO 550,UN,TALLER,TAL,CILINDROS,CIL
2245,VALV.HIDRAU.DE SEGURIDAD,UN,TALLER,TAL,FERRETERIA,FER
2246,TOMA DE FUERZA MERCEDES BENZ,UN,TALLER,TAL,ELECTRICIDAD,ELE
2247,TE 3/8 NPT A 1/2 TUBO,UN,TALLER,TAL,HIDRAULICA,HID
2248,VALVULA DE 4 CUERPOS 3 DOBLE EFECTO Y 1 SIMPLE EFECTO,UN,TALLER,TAL,VALVULAS,VAL
2249,VALVULA DE 4 CUERPOS 2 DOBLE EFECTO Y 2 SIMPLE EFECTO,UN,TALLER,TAL,VALVULAS,VAL
2250,CILINDRO DE 3 TRAMOS,UN,TALLER,TAL,CILINDROS,CIL
2251,CILINDRO DOBLE EFECTO 63.5 X 32 X 850 DIAMETRO EXTERIOR 73,UN,TALLER,TAL,CILINDROS,CIL
2252,REPARACION CILINDROS TELESCOPIO 3 TRAMOS,UN,TALLER,TAL,CILINDROS,CIL
2253,REP. CILINDRO DOBLE EFECTO,UN,TALLER,TAL,CILINDROS,CIL
2254,REPARACION DE CILINDRO DE DOSTRAMOS,UN,TALLER,TAL,CILINDROS,CIL
2255,REPARACION DE CILINDRO,UN,TALLER,TAL,CILINDROS,CIL
2256,JUEGO CODO DIAMETRO 30 MG ALUMINIO 90052423,UN,TALLER,TAL,CONEXIONES,CON
2257,JUEGO CODO DIAMETRO 30 MG ALUMINIO 90052424,UN,TALLER,TAL,CONEXIONES,CON
2258,R-5000 - WIPSEAL -0 - 127 - 146 - 9.52,UN,TALLER,TAL,FERRETERIA,FER
2259,POLIPAC 250 - 5000 375B,UN,TALLER,TAL,RODAMIENTOS,ROD
2260,RASPADOR 4250,UN,TALLER,TAL,REPUESTOS,RPU
2261,CODOS 90§5/8X3/8 HIDRAUL.,UN,TALLER,TAL,CONEXIONES,CON
2262,ADAPTADOR DE 1/4 NPT A JIC 10,UN,TALLER,TAL,CONEXIONES,CON
2263,POLIPAC 250 4250 375B,UN,TALLER,TAL,RODAMIENTOS,ROD
2264,ADAPTADOR 5/8TUBX7/8'UNF',UN,TALLER,TAL,CONEXIONES,CON
2265,TAPONES HIDRAUL DE 3/8 NPT,UN,TALLER,TAL,CONEXIONES,CON
2266,ORING Nº 211,UN,TALLER,TAL,FERRETERIA,FER
2267,ORING Nº 113,UN,TALLER,TAL,FERRETERIA,FER
2268,"FLEXIBLE 3/8 R2 X 3,480 MT",UN,TALLER,TAL,FERRETERIA,FER
2269,"CILINDRO DIMATRA 3"" (TECHO DELANTERO)",UN,TALLER,TAL,CILINDROS,CIL
2270,"CILINDRO DIMATRA 2 1/2 "" (TECHO DELANTERO)",UN,TALLER,TAL,CILINDROS,CIL
2271,"CILINDRO DIMATRA 4"" (TECHO TRASERO)",UN,TALLER,TAL,VALVULAS,VAL
2272,"CILINDRO DIMATRA 3"" (TECHO TRASERO)",UN,TALLER,TAL,VALVULAS,VAL
2273,FLEXIBLE 3/8 R2,MT,TALLER,TAL,FERRETERIA,FER
2274,"CILINDRO DIMATRA BANDERA 3"" COMPENSADO CON OJOS (CHICO / CORTO)",UN,TALLER,TAL,CILINDROS,CIL
2275,"CILINDRO DIMATRA BANDERA 3 1/2"" COMPENSADO CON OJOS (GRANDE / CORTO)",UN,TALLER,TAL,CILINDROS,CIL
2276,"CILINDRO DIMATRA BANDERA 3 1/2"" COMPENSADO CON OJOS (GRANDE / LARGO)",UN,TALLER,TAL,CILINDROS,CIL
2277,"CILINDRO DIMATRA BANDERA 3"" COMPENSADO CON OJOS ( CHICO / LARGO )",UN,TALLER,TAL,CILINDROS,CIL
2278,POLIPAC 250 2250 375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2279,TEE CENTRO 3/4 UNF A 1/2 TUBO,UN,TALLER,TAL,CONEXIONES,CON
2280,CHAPA PROTECTORA DE MOTOR ELECTRICO DE MINICENTRAL HIDRAULICA,UN,TALLER,TAL,HIDRAULICA,HID
2281,ADAPTADOR DE 3/4 UNF A 1/2 TUBO,UN,TALLER,TAL,CONEXIONES,CON
2282,CODO DE 3/4 UNF A 1/2 TUBO,UN,TALLER,TAL,CONEXIONES,CON
2283,ELECTROVALVULA HIDRÁULICA 24V C/PLACA Y SELENOIDE,UN,TALLER,TAL,ELECTROVALVULAS,EVA
2284,POLIPAC 187-4000-375,UN,TALLER,TAL,RODAMIENTOS,ROD
2285,POLIPAC 187-1812-375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2286,"MANGUERA DE 1"" PARA HIDRAULICO",MT,TALLER,TAL,MANGUERAS,MAN
2287,POLIPAC 187 1625 375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2288,POLIPAC 187 1375 312 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2289,MANGUERA DE 3/8 X4000MM C/TERMINAL 1/2 NPT MACHO,UN,TALLER,TAL,MANGUERAS,MAN
2290,MANGUERA DE 1/2 X4000MM C/TERMINAL 1/2 NPT MACHO,UN,TALLER,TAL,MANGUERAS,MAN
2291,RASPADOR 2750,UN,TALLER,TAL,REPUESTOS,RPU
2292,"MANG DE 3/8 X 0,70 HE MA TUBO",UN,TALLER,TAL,MANGUERAS,MAN
2293,POLIPAC 187 2750 375B,UN,TALLER,TAL,RODAMIENTOS,ROD
2294,RASPADOR 3500,UN,TALLER,TAL,REPUESTOS,RPU
2295,POLIPAC 250-4375-562 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2296,POLIPAC 250-1875-375,UN,TALLER,TAL,RODAMIENTOS,ROD
2297,POLIPAC 157-1575-315,UN,TALLER,TAL,RODAMIENTOS,ROD
2298,POLIPAC 1870 2625 375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2299,RASPADOR 2125,UN,TALLER,TAL,REPUESTOS,RPU
2300,"MANG DE 3/8 X 0,70 HEM GIR TU",UN,TALLER,TAL,MANGUERAS,MAN
2301,POLIPAC 187 2187 316 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2302,POLIPAC 187 1750 375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2303,POLIPAC 187 1500 375 B,UN,TALLER,TAL,RODAMIENTOS,ROD
2304,"MANG HEM GIRA 1/2 JIC X 0,70CM",UN,TALLER,TAL,MANGUERAS,MAN
2305,MANG HEM GIRA 1/2 TUBO X 2 MTS,UN,TALLER,TAL,MANGUERAS,MAN
2306,MANG HEMB GIRA 1/2 TUBO X 70 CM,UN,TALLER,TAL,MANGUERAS,MAN
2307,"MANG HEMR GIR 1/2 TUBO X 1,65 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2308,"MANG HEM GIR 1/2 TUBO X 2,50 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2309,"MANG HEM GIR 1/2 TUBO X 3,00 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2310,"MANG HEMB GIRA 1/2 TUBO X 5,50 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2311,"MANG 3/8 TUBO X 3/8 NPT X 0,70 CM",UN,TALLER,TAL,MANGUERAS,MAN
2312,"MANG CON CODO 90 1/2 TUBO A 1/2 MACHOX5,50 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2313,"MANG C/MACHO 1/2 NPT A MACHO 3/8 NPT X 2,50 MTS",MT,TALLER,TAL,MANGUERAS,MAN
2314,"MANG C/MACHO 1/2 A 1/4 X 2,50 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2315,MANG C/MACHO 1/2 A 1/4 X 3 MT,UN,TALLER,TAL,MANGUERAS,MAN
2316,"MANG HEMB TUBO A MACHO NPT DE 3/8 X 0,65 CM",UN,TALLER,TAL,MANGUERAS,MAN
2317,"MANG C/CODO Y HEMB JIC 1/2 X 0,70 CM",UN,TALLER,TAL,MANGUERAS,MAN
2318,"MANG C/CODO Y HEMB JIC 1/2 X 0,80 CM",UN,TALLER,TAL,MANGUERAS,MAN
2319,"MANG C/CODO Y HEMB JIC 1/2 X 2,00 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2320,"MANG C/CODO Y HEMB JIC 1/2 X 2,50 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2321,"MANG C/CODO Y HEMB JIC 1/2 X 3,00 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2322,"MANG C/CODO Y HEMBR JIC 1/2 X4,50 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2323,"MANG C/HEMBRA GIRA JIC X 1/4 X 0,50 CM",UN,TALLER,TAL,MANGUERAS,MAN
2324,"MANG C MACHO HEMBR TUBO DE 1/2 X 1,50 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2325,"MANG C/MACHO HEMBRA TUBO DE 1/2 X 2,30 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2326,"MANG CON MACHO HEMB TUBO DE 1/2 X 0,60 CM",UN,TALLER,TAL,MANGUERAS,MAN
2327,"MANGUERA C/MACHO DE 1/2 X 1,00 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2328,"MANG C/MACHO DE 1/2 X 2,50 MTS",UN,TALLER,TAL,MANGUERAS,MAN
2329,MANG C/MACHO DE 1/2 X 2.00 MTS,UN,TALLER,TAL,MANGUERAS,MAN
2330,RETEN 25 52 7 DBH 8061,UN,TALLER,TAL,RODAMIENTOS,ROD
2331,Mangueras Hidráulicas: 3/8 R2 tuerca giratoria tubo. 800mm de largo HH. Tuerca giratoria amb. extremos ½ tubo,MT,TALLER,TAL,HIDRAULICA,HID
